timestamp,crypto_BTCUSDT_close,crypto_BTCUSDT_volume,crypto_ETHUSDT_close,crypto_ETHUSDT_volume,crypto_BNBUSDT_close,crypto_BNBUSDT_volume,crypto_SOLUSDT_close,crypto_SOLUSDT_volume,crypto_ADAUSDT_close,crypto_ADAUSDT_volume,solar_density,solar_speed,solar_temperature,geomag_kp,solar_xray,seismic_count,seismic_max_mag,climate_temperature,climate_humidity,climate_pressure,climate_wind_speed
2025-11-29 00:00:00,,,,,,,,,,,,,,2.67,,0.0,0.0,4.5,89,1021.5,3.0
2025-11-29 01:00:00,,,,,,,,,,,,,,2.67,,0.0,0.0,3.4,92,1021.5,4.0
2025-11-29 02:00:00,,,,,,,,,,,,,,2.67,,0.0,0.0,2.5,93,1021.3,3.7
2025-11-29 03:00:00,90680.26,203.76865,3022.6,6805.8259,884.14,2052.206,136.83,54531.5,0.4163,1749491.8,0.24,608.7,5261.0,3.0,1.225964041395855e-07,1.0,5.1,2.3,94,1021.1,2.6
2025-11-29 04:00:00,90901.56,194.82906,3041.04,6376.7451,884.47,4508.329,137.64,41405.206,0.4182,4617550.7,0.33,593.8,2000.0,3.0,8.700644826831194e-08,2.0,4.9,1.8,95,1020.9,3.4
2025-11-29 05:00:00,90747.16,201.02788,3033.21,5840.4203,881.3,4327.374,137.22,60045.13,0.4164,1278236.6,0.38,602.4,13532.0,3.0,1.2396202464515227e-07,1.0,2.53896063450723,1.4,94,1020.8,3.5
2025-11-29 06:00:00,90565.29,551.9962,3007.64,21897.2576,878.9,6775.794,137.11,162032.312,0.4157,3966322.9,0.22,610.5,2000.0,4.0,1.3383061059357715e-07,5.0,5.1,0.9,95,1020.8,3.7
2025-11-29 07:00:00,90567.67,281.69639,3004.9,8437.5736,879.06,4438.056,137.28,52995.013,0.4154,991531.0,0.49,542.9,2000.0,4.0,1.4775299916891527e-07,1.0,2.86,0.2,95,1020.8,3.5
2025-11-29 08:00:00,90629.67,209.42959,3008.29,5129.7948,880.0,2930.714,136.98,84762.582,0.415,1370019.3,1.14,582.6,12422.0,4.0,1.1697002832988801e-07,1.0,5.9,0.7,95,1020.8,2.5
2025-11-29 09:00:00,90560.08,255.33197,3002.05,8389.8706,881.21,2804.322,136.67,61895.572,0.4152,1118267.4,1.14,582.6,12422.0,3.33,6.093384854466422e-07,0.0,0.0,2.6,88,1020.8,1.3
2025-11-29 10:00:00,90552.47,287.88192,2997.32,14219.3495,879.07,2289.992,136.82,73404.532,0.4165,2682902.2,1.14,582.6,12422.0,3.33,6.464092905389407e-08,1.0,2.51,4.9,81,1020.7,1.2
2025-11-29 11:00:00,90673.19,204.80457,2999.82,9857.1595,878.56,3387.721,137.33,45066.19,0.4185,1573331.4,1.14,582.6,12422.0,3.33,5.2635872549444684e-08,1.0,5.0,6.7,76,1020.0,2.4
